delta,probe_edge,canonical,rel_gap,norm_delta,G_r,g_pair,mac_r,mac_r1,eps_sub,sin_individual,sin_subspace,dk_individual,dk_subspace,weyl_ok_individual,weyl_ok_subspace
0.002,6,False,0.0016300317924974835,0.000984649012462656,0.0004494816478137764,0.12491865573698346,0.9454819196293842,0.945482975184826,0.0021513865611540667,0.23349107128671062,0.0021513845212074684,4.3812645844468525,0.015764643105603646,False,True
0.002,7,False,0.0016300317924974835,0.0030240604749375197,0.0004494816478137764,0.12491865573698346,0.9967698768540951,0.9967871672688458,0.004183606987443613,0.056834172342921235,0.0041836069258501685,13.455768392975235,0.0484164748186962,False,True
0.002,8,False,0.0016300317924974835,0.0020231505015152283,0.0004494816478137764,0.12491865573698346,0.9968032737643528,0.9968158417196524,0.003566673912226734,0.05653959882814125,0.003566673827839579,9.002149526484937,0.03239148691729403,False,True
0.002,9,False,0.0016300317924974835,0.0020989074490449563,0.0004494816478137764,0.12491865573698346,0.9967765287531097,0.9967868834038214,0.0032375130374789713,0.056775621941906225,0.0032375129886807936,9.339235358123227,0.03360438737772221,False,True
0.002,10,False,0.0016300317924974835,0.0030998174224672655,0.0004494816478137764,0.12491865573698346,0.9968199722457036,0.9968349782003266,0.0038970031694782895,0.05639173480481317,0.0038970030616183714,13.792854224613606,0.04962937527912466,False,True
0.002,11,False,0.0016300317924974835,0.003105843543293495,0.0004494816478137764,0.12491865573698346,0.9446134160388088,0.944616193086132,0.0034906954943058257,0.23534354454964604,0.0034906926221669804,13.819667870312111,0.049725855997567826,False,True
0.005,0,False,0.004064020636716668,0.000988091330197984,0.0011220209407245552,0.12458229607104501,0.9897314495693047,0.9897319308256873,0.002156518812666947,0.10133385629045852,0.0021565062443872373,1.7612707469789557,0.015862467804165517,False,True
0.005,1,False,0.004064020636716668,0.002030223404412052,0.0011220209407245552,0.12458229607104501,0.9895141813001676,0.9895019189424088,0.003594470833173314,0.1024002866198745,0.003594470301268814,3.6188690080971515,0.032592486548077185,False,True
0.005,2,False,0.004064020636716668,0.0031106543362856643,0.0011220209407245552,0.12458229607104501,0.9894141647688712,0.9893997477383524,0.0038996300857565393,0.10288748821469387,0.003899629382377708,5.544734903569502,0.04993734157077607,False,True
0.005,3,False,0.004064020636716668,0.0030346325436379214,0.0011220209407245552,0.12458229607104501,0.9894772331149193,0.9894605157508811,0.004195960439441531,0.10258053852988243,0.004195960059855964,5.409226215828521,0.048716914671525634,False,True
0.005,4,True,0.004064020636716668,0.0021062451970597835,0.0011220209407245552,0.12458229607104501,0.9898496810546461,0.9898397122674016,0.003239095225184923,0.10074879128482832,0.0032390949138243193,3.7543776958381128,0.033812913447327446,False,True
0.005,5,False,0.004064020636716668,0.0031167015243372303,0.0011220209407245552,0.12458229607104501,0.989726248820626,0.9897274529598927,0.003492445548156223,0.10135951449851174,0.003492427657934482,5.5555140037307895,0.05003442098321711,False,True
0.005,6,False,0.004064020636716668,0.0009831754529333087,0.0011220209407245552,0.12458229607104501,0.9899606460121065,0.9899611188219078,0.0021492190939687264,0.1001965767274185,0.002149206502631004,1.7525082059491943,0.0157835500538959,False,True
0.005,7,False,0.004064020636716668,0.003019534869291409,0.0011220209407245552,0.12458229607104501,0.9988105607287036,0.9988277614727492,0.00417833509551971,0.03448824830716173,0.004178334703863996,5.382314642615346,0.04847454196171617,False,True
0.005,8,False,0.004064020636716668,0.002020122790459725,0.0011220209407245552,0.12458229607104501,0.9988372246031506,0.998849678282181,0.003554871848340972,0.034099492618650376,0.00355487132209811,3.6008646846737324,0.032430334873708194,False,True
