target_mode,beta,threshold,beta_over_threshold,target_overlap,recovered_mode,ground_value
2,0.07829530800819454,0.13422052801404777,0.5833333333333334,6.658787226922205e-29,1,0.09896257623910172
2,0.07969343850834087,0.13422052801404777,0.5937500000000001,4.892170207534681e-29,1,0.10036070673924785
2,0.0810915690084872,0.13422052801404777,0.6041666666666667,5.6976711474751985e-30,1,0.10175883723939447
2,0.08248969950863354,0.13422052801404777,0.6145833333333335,1.6874227800743206e-29,1,0.10315696773954058
2,0.08388783000877986,0.13422052801404777,0.625,2.1742978700154138e-29,1,0.10455509823968707
2,0.0852859605089262,0.13422052801404777,0.6354166666666667,1.6197070832296654e-29,1,0.10595322873983332
2,0.08668409100907253,0.13422052801404777,0.6458333333333334,1.4459111650481612e-29,1,0.10735135923997949
2,0.08808222150921886,0.13422052801404777,0.6562500000000001,3.2374882365149435e-29,1,0.10874948974012585
2,0.08948035200936519,0.13422052801404777,0.6666666666666667,1.59486258694707e-28,1,0.11014762024027205
2,0.09087848250951151,0.13422052801404777,0.6770833333333334,6.523586944826221e-29,1,0.11154575074041839
2,0.09227661300965785,0.13422052801404777,0.6875000000000001,2.1742978700154138e-29,1,0.11294388124056476
2,0.09367474350980418,0.13422052801404777,0.6979166666666667,2.0194839173657902e-28,1,0.1143420117407113
2,0.09507287400995051,0.13422052801404777,0.7083333333333334,1.4244177868687996e-28,1,0.11574014224085749
2,0.09647100451009684,0.13422052801404777,0.71875,2.7228027181768986e-29,1,0.11713827274100377
2,0.09786913501024318,0.13422052801404777,0.7291666666666667,1.026328067363958e-28,1,0.11853640324115022
2,0.0992672655103895,0.13422052801404777,0.7395833333333334,8.542577824126248e-29,1,0.11993453374129667
2,0.10066539601053584,0.13422052801404777,0.7500000000000001,2.359264181874364e-29,1,0.1213326642414427
2,0.10206352651068216,0.13422052801404777,0.7604166666666667,2.7456750621964414e-28,1,0.12273079474158918
2,0.1034616570108285,0.13422052801404777,0.7708333333333335,7.703719777548943e-30,1,0.12412892524173538
